Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenTestSuite,Chrome 63.0.3239.84,,2017-12-09 12:17:27,2017-12-09 12:18:48,1m - 21.518s,PASSED
,,,,,,
Test Cases/DataDriven/TC - MultipleDataSet - Iteration 1,Chrome 63.0.3239.84,,2017-12-09 12:17:28,2017-12-09 12:18:00,31.849s,PASSED
SetUp,Chrome 63.0.3239.84,,2017-12-09 12:17:29,2017-12-09 12:17:47,17.614s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:17:47,2017-12-09 12:17:47,0.063s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:17:47,2017-12-09 12:17:50,3.875s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:17:50,2017-12-09 12:17:51,0.089s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:17:51,2017-12-09 12:17:51,0.619s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:17:51,2017-12-09 12:17:51,0.325s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:17:51,2017-12-09 12:17:52,0.490s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:17:52,2017-12-09 12:17:52,0.521s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:17:52,2017-12-09 12:17:53,0.296s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:17:53,2017-12-09 12:17:53,0.397s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:17:53,2017-12-09 12:17:54,0.478s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:17:54,2017-12-09 12:17:57,3.026s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:17:57,2017-12-09 12:17:57,0.045s,PASSED
verifyTextPresent,Chrome 63.0.3239.84,,2017-12-09 12:17:57,2017-12-09 12:17:57,0.399s,PASSED
TearDown,Chrome 63.0.3239.84,,2017-12-09 12:17:57,2017-12-09 12:18:00,2.742s,PASSED
,,,,,,
Test Cases/DataDriven/TC - MultipleDataSet - Iteration 2,Chrome 63.0.3239.84,,2017-12-09 12:18:00,2017-12-09 12:18:18,17.855s,PASSED
SetUp,Chrome 63.0.3239.84,,2017-12-09 12:18:00,2017-12-09 12:18:11,10.563s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:11,2017-12-09 12:18:11,0.061s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:18:11,2017-12-09 12:18:12,1.703s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:18:12,2017-12-09 12:18:12,0.065s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:18:12,2017-12-09 12:18:13,0.171s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:18:13,2017-12-09 12:18:13,0.184s,PASSED
