Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DropDownSuite,Chrome 63.0.3239.84,,2017-12-09 11:58:15,2017-12-09 11:59:09,54.137s,FAILED
,,,,,,
Test Cases/DropDown/DropdownFunctionScriptMode,Chrome 63.0.3239.84,DropdownFunctionScriptMode,2017-12-09 11:58:15,2017-12-09 11:58:29,13.198s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:58:16,2017-12-09 11:58:22,5.978s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:58:22,2017-12-09 11:58:23,1.112s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 11:58:23,2017-12-09 11:58:23,0.233s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 11:58:23,2017-12-09 11:58:24,0.067s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:58:24,2017-12-09 11:58:25,1.691s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:58:25,2017-12-09 11:58:28,2.872s,PASSED
selectOptionByIndex,Chrome 63.0.3239.84,,2017-12-09 11:58:28,2017-12-09 11:58:28,0.165s,PASSED
selectOptionByLabel,Chrome 63.0.3239.84,,2017-12-09 11:58:28,2017-12-09 11:58:29,0.373s,FAILED
,,,,,,
Test Cases/DropDown/DropDownManualMode,Chrome 63.0.3239.84,DropDownManualMode,2017-12-09 11:58:29,2017-12-09 11:59:09,39.822s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 11:58:29,2017-12-09 11:58:34,5.159s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 11:58:34,2017-12-09 11:58:37,3.038s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 11:58:37,2017-12-09 11:59:09,31.110s,FAILED
