Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JavaScriptTestSuite,Chrome 63.0.3239.84,Test suite for java script popup,2017-12-09 23:29:04,2017-12-09 23:29:54,49.773s,FAILED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingConfirmationPopupScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:29:12,2017-12-09 23:29:16,4.067s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:29:13,2017-12-09 23:29:13,0.004s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:29:13,2017-12-09 23:29:13,0.002s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:29:13,2017-12-09 23:29:13,0.002s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:29:13,2017-12-09 23:29:13,0.124s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:29:13,2017-12-09 23:29:15,2.032s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:29:15,2017-12-09 23:29:15,0.060s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:29:15,2017-12-09 23:29:16,1.089s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.104s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.026s,PASSED
acceptAlert,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.020s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.066s,PASSED
waitForAlert,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.008s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.026s,PASSED
Statement - println(alertText),Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.006s,PASSED
dismissAlert,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.021s,PASSED
switchToDefaultContent,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.001s,NOT_RUN
closeWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.000s,NOT_RUN
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.000s,NOT_RUN
closeBrowser,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.001s,NOT_RUN
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:16,0.134s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptAlertScriptMode,Chrome 63.0.3239.84,,2017-12-09 23:29:16,2017-12-09 23:29:49,32.113s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:29:17,2017-12-09 23:29:17,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:29:17,2017-12-09 23:29:17,0.000s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:29:17,2017-12-09 23:29:17,0.000s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:29:17,2017-12-09 23:29:17,0.363s,FAILED
Start listener action : afterTestCase,Chrome 63.0.3239.84,,2017-12-09 23:29:17,2017-12-09 23:29:49,31.506s,PASSED
,,,,,,
Test Cases/JavaScriptPopup/TC-HandlingJavaScriptConfirmation,Chrome 63.0.3239.84,,2017-12-09 23:29:49,2017-12-09 23:29:53,4.732s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-09 23:29:49,2017-12-09 23:29:49,0.001s,NOT_RUN
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-09 23:29:49,2017-12-09 23:29:49,0.000s,NOT_RUN
maximizeWindow,Chrome 63.0.3239.84,,2017-12-09 23:29:49,2017-12-09 23:29:49,0.001s,NOT_RUN
click,Chrome 63.0.3239.84,,2017-12-09 23:29:49,2017-12-09 23:29:49,0.079s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-09 23:29:49,2017-12-09 23:29:51,2.003s,PASSED
switchToWindowIndex,Chrome 63.0.3239.84,,2017-12-09 23:29:51,2017-12-09 23:29:51,0.018s,PASSED
switchToFrame,Chrome 63.0.3239.84,,2017-12-09 23:29:51,2017-12-09 23:29:52,1.084s,PASSED
