Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerificationTestSuite,Chrome 63.0.3239.84,,2017-12-09 11:59:52,2017-12-09 12:00:45,52.444s,FAILED
,,,,,,
Test Cases/Verification/TC-VerifyElementText,Chrome 63.0.3239.84,,2017-12-09 11:59:53,2017-12-09 12:00:10,16.921s,FAILED
Initialize,Chrome 63.0.3239.84,,2017-12-09 11:59:53,2017-12-09 12:00:02,9.211s,PASSED
com.helper.login.LoginHelper.loginIntoApplicationWith,Chrome 63.0.3239.84,,2017-12-09 12:00:02,2017-12-09 12:00:02,0.006s,NOT_RUN
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:00:02,2017-12-09 12:00:02,0.070s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2017-12-09 12:00:02,2017-12-09 12:00:02,0.114s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:00:02,2017-12-09 12:00:03,0.957s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:00:03,2017-12-09 12:00:03,0.044s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2017-12-09 12:00:03,2017-12-09 12:00:03,0.110s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:00:03,2017-12-09 12:00:04,0.072s,PASSED
sendKeys,Chrome 63.0.3239.84,,2017-12-09 12:00:04,2017-12-09 12:00:04,0.081s,PASSED
click,Chrome 63.0.3239.84,,2017-12-09 12:00:04,2017-12-09 12:00:07,3.547s,PASSED
waitForElementVisible,Chrome 63.0.3239.84,,2017-12-09 12:00:07,2017-12-09 12:00:07,0.037s,PASSED
verifyTextPresent,Chrome 63.0.3239.84,,2017-12-09 12:00:07,2017-12-09 12:00:08,0.482s,FAILED
TearDown,Chrome 63.0.3239.84,,2017-12-09 12:00:08,2017-12-09 12:00:10,1.882s,PASSED
,,,,,,
Test Cases/Verification/TC-VerifySaveButton,Chrome 63.0.3239.84,,2017-12-09 12:00:10,2017-12-09 12:00:23,12.945s,PASSED
com.helper.login.LoginHelper.loginIntoApplicationWith,Chrome 63.0.3239.84,,2017-12-09 12:00:10,2017-12-09 12:00:17,6.828s,PASSED
